"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"1","1","300","20","erdos_renyi","species","species_1","PLN","BIC","0.1","0.8048905","0.642083883893031","0.079","0.462","0.3","0.364","0.814003467559814"
"2","1","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.8057405","0.708372213472698","0.023","0.538","0.636","0.583","2.70238018035889"
"3","2","300","20","erdos_renyi","species","species_1","PLN","BIC","0.05","0.8535","0.60285669857167","0","0.4","1","0.571","0.797812223434448"
"4","2","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.03","0.7866","0.627248582885075","0.011","0.6","0.6","0.6","2.72345376014709"
"5","3","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.7853905","0.695671139929676","0.017","0.545","0.667","0.6","0.741246700286865"
"6","3","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.07","0.8537715","0.672266696240428","0.011","0.545","0.75","0.632","2.14495420455933"
"7","4","300","20","erdos_renyi","species","species_1","PLN","BIC","0.11","0.8132615","0.686809378812726","0.022","0.364","0.5","0.421","0.778704643249512"
"8","4","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.08","0.9197065","0.69974314176427","0.061","0.818","0.45","0.581","2.38582038879395"
"9","5","300","20","erdos_renyi","species","species_1","PLN","BIC","0.1","0.909","0.619654475473976","0.056","1","0.524","0.688","0.746977567672729"
"10","5","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.05","0.907365","0.663931548807414","0.279","1","0.18","0.306","3.33503389358521"
"11","6","300","20","erdos_renyi","species","species_1","PLN","BIC","0.11","0.899992","0.674306047943888","0.045","0.833","0.556","0.667","0.812439203262329"
"12","6","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.09","0.9220455","0.702539931273723","0.045","0.75","0.529","0.621","2.29928278923035"
"13","7","300","20","erdos_renyi","species","species_1","PLN","BIC","0.12","0.819794","0.686658172212071","0.116","0.647","0.355","0.458","0.653725385665894"
"14","7","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.1","0.8464465","0.685079133112057","0.162","0.706","0.3","0.421","1.9320809841156"
"15","8","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.895761","0.630511831636162","0.011","0.571","0.667","0.615","0.706656455993652"
"16","8","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.857","0.66287589752101","0.115","1","0.25","0.4","1.75344228744507"
"17","9","300","20","erdos_renyi","species","species_1","PLN","BIC","0.1","0.7933","0.627677480661286","0.061","0.7","0.389","0.5","0.950169563293457"
"18","9","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.07","0.89415","0.655749012639429","0.117","0.7","0.25","0.368","1.97084403038025"
"19","10","300","20","erdos_renyi","species","species_1","PLN","BIC","0.07","0.825605","0.639869692795485","0.038","0.5","0.3","0.375","0.433180809020996"
"20","10","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.05","0.7726905","0.68277823346132","0.005","0.667","0.8","0.727","1.01228713989258"
"21","11","300","20","erdos_renyi","species","species_1","PLN","BIC","0.06","0.7261125","0.640392445078786","0","0",NA,"0","0.697375774383545"
"22","11","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.04","0.7670045","0.677861039406499","0.005","0.167","0.5","0.25","1.73666882514954"
"23","12","300","20","erdos_renyi","species","species_1","PLN","BIC","0.06","0.72775","0.583842394349933","0.011","0.25","0.333","0.286","0.67807674407959"
"24","12","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.03","0.87225","0.63363009681404","0.048","1","0.308","0.471","1.80570411682129"
"25","13","300","20","erdos_renyi","species","species_1","PLN","BIC","0.07","0.9133325","0.637080236094459","0.027","0.833","0.5","0.625","0.692315101623535"
"26","13","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.04","0.9155815","0.664079600554916","0.022","1","0.6","0.75","1.67305445671082"
"27","14","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.902875","0.637540706902235","0","0.375","1","0.545","0.678476572036743"
"28","14","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.9245625","0.704960305947131","0.022","0.875","0.636","0.737","1.69926404953003"
"29","15","300","20","erdos_renyi","species","species_1","PLN","BIC","0.11","0.9431825","0.700087502224995","0.006","0.5","0.857","0.632","0.644661426544189"
"30","15","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.08","0.872498","0.732864248236406","0.039","1","0.632","0.774","1.98284769058228"
"31","16","300","20","erdos_renyi","species","species_1","PLN","BIC","0.11","0.6698475","0.700980058611137","0.006","0.455","0.833","0.588","0.440204381942749"
"32","16","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.08","0.7416135","0.722535720716622","0.022","0.455","0.556","0.5","1.83083176612854"
"33","17","300","20","erdos_renyi","species","species_1","PLN","BIC","0.08","0.7721295","0.637010441501632","0.077","0.571","0.222","0.32","0.441373348236084"
"34","17","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.765628","0.664508806761208","0.022","0.571","0.5","0.533","1.22255253791809"
"35","18","300","20","erdos_renyi","species","species_1","PLN","BIC","0.05","0.8335","0.613141956333106","0.048","1","0.25","0.4","0.725780725479126"
"36","18","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.03","0.8335","0.619911618779972","0.048","1","0.25","0.4","1.67436861991882"
"37","19","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.912415","0.617928110909233","0.044","0.778","0.467","0.583","0.712297201156616"
"38","19","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.8779495","0.665028503518407","0.039","0.778","0.5","0.609","2.17279005050659"
"39","20","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.883375","0.636775830914116","0.027","0.5","0.444","0.471","0.720941781997681"
"40","20","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.88425","0.683051416398034","0.06","0.75","0.353","0.48","2.06417632102966"
"41","21","300","20","erdos_renyi","species","species_1","PLN","BIC","0.07","0.8551695","0.620941010110682","0.005","0.5","0.75","0.6","0.653478384017944"
"42","21","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.05","0.793855","0.665002914223491","0.022","0.667","0.5","0.571","1.74416279792786"
"43","22","300","20","erdos_renyi","species","species_1","PLN","BIC","0.08","0.7109795","0.661521797970304","0.011","0.429","0.6","0.5","0.64487624168396"
"44","22","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.04","0.845348","0.724560161509041","0.038","0.571","0.364","0.444","1.81078052520752"
"45","23","300","20","erdos_renyi","species","species_1","PLN","BIC","0.1","0.847035","0.662177015522064","0.074","0.714","0.435","0.541","0.428055286407471"
"46","23","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.07","0.9201915","0.683167069841946","0.085","0.786","0.423","0.55","1.26983308792114"
"47","24","300","20","erdos_renyi","species","species_1","PLN","BIC","0.07","0.9011765","0.647673888114755","0","0.333","1","0.5","0.623290061950684"
"48","24","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.05","0.8939205","0.647887856474386","0.016","0.667","0.571","0.615","1.7417905330658"
"49","25","300","20","erdos_renyi","species","species_1","PLN","BIC","0.11","0.76895","0.64284517671892","0","0",NA,"0","0.435473203659058"
"50","25","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.08","0.9057","0.682621944695922","0.05","0.8","0.471","0.593","1.19989466667175"
"51","26","300","20","erdos_renyi","species","species_1","PLN","BIC","0.12","0.833509","0.666608421178437","0.006","0.364","0.8","0.5","0.66864800453186"
"52","26","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.08","0.909731","0.755307263795735","0.028","0.545","0.545","0.545","1.54658555984497"
"53","27","300","20","erdos_renyi","species","species_1","PLN","BIC","0.08","0.91225","0.672760341546041","0.038","0.875","0.5","0.636","0.643657207489014"
"54","27","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.913625","0.67845789529615","0.209","1","0.174","0.296","1.95537400245667"
"55","28","300","20","erdos_renyi","species","species_1","PLN","BIC","0.09","0.7854375","0.693521222648873","0.016","0.625","0.625","0.625","0.683763265609741"
"56","28","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.06","0.86925","0.729685769711041","0.005","0.5","0.8","0.615","1.457763671875"
"57","29","300","20","erdos_renyi","species","species_1","PLN","BIC","0.1","0.8631965","0.664802898290645","0.006","0.5","0.857","0.632","0.444504499435425"
"58","29","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.08","0.8922285","0.661712150808802","0.006","0.667","0.889","0.762","1.00645565986633"
"59","30","300","20","erdos_renyi","species","species_1","PLN","BIC","0.06","0.7801875","0.611203264241925","0","0.375","1","0.545","0.6773841381073"
"60","30","300","20","erdos_renyi","species","species_1","ZIPLN","BIC","0.04","0.771625","0.652435750226343","0.011","0.375","0.6","0.462","1.55414319038391"
"61","1","300","20","erdos_renyi","species","species_2","PLN","BIC","0.1","0.686845","0.518583295584364","0.033","0","0","0","0.65047287940979"
"62","1","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.05","0.8452795","0.633227216861174","0","0.429","1","0.6","1.27413773536682"
"63","2","300","20","erdos_renyi","species","species_2","PLN","BIC","0.11","0.6626365","0.52042014631198","0","0",NA,"0","0.678537845611572"
"64","2","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.04","0.546868","0.692256198936515","0","0.143","1","0.25","2.38904428482056"
"65","3","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.459375","0.486479538510315","0.077","0.125","0.067","0.087","0.833178997039795"
"66","3","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.06","0.8065","0.643231079568168","0","0",NA,"0","2.01417970657349"
"67","4","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.5733335","0.48569008920977","0","0",NA,"0","0.82536792755127"
"68","4","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.05","0.8685145","0.655217193251427","0.011","0.667","0.667","0.667","2.45126509666443"
"69","5","300","20","erdos_renyi","species","species_2","PLN","BIC","0.19","0.662018","0.491056995405919","0","0",NA,"0","0.833763599395752"
"70","5","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.1","0.8316565","0.66033403994961","0.064","0.667","0.522","0.585","3.01725554466248"
"71","6","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.7164375","0.493095547425998","0","0",NA,"0","0.786587953567505"
"72","6","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.06","0.792375","0.654489902146547","0.005","0.375","0.75","0.5","2.29304122924805"
"73","7","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.7594445","0.533217007164611","0.039","0.083","0.125","0.1","0.456743001937866"
"74","7","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.06","0.8895655","0.619357408873359","0.112","0.833","0.333","0.476","1.07947850227356"
"75","8","300","20","erdos_renyi","species","species_2","PLN","BIC","0.08","0.7229315","0.457602429779294","0.086","0.333","0.059","0.1","0.707953453063965"
"76","8","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.03","0.748083","0.583463182038653","0","0",NA,"0","1.58711051940918"
"77","9","300","20","erdos_renyi","species","species_2","PLN","BIC","0.15","0.521603","0.49702499435471","0.057","0","0","0","0.959342479705811"
"78","9","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.08","0.793752","0.621686369697242","0.074","0.714","0.435","0.541","1.95802974700928"
"79","10","300","20","erdos_renyi","species","species_2","PLN","BIC","0.09","0.730092","0.559178923823904","0","0",NA,"0","0.694556474685669"
"80","10","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.05","0.834488","0.627338772542074","0.033","0.571","0.4","0.471","1.72939276695251"
"81","11","300","20","erdos_renyi","species","species_2","PLN","BIC","0.1","0.520625","0.521597855748674","0.066","0.125","0.077","0.095","0.736600399017334"
"82","11","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.06","0.753","0.606477919188375","0","0.125","1","0.222","1.93906855583191"
"83","12","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.5726875","0.495085001291551","0.11","0.222","0.091","0.129","0.944071054458618"
"84","12","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.05","0.815557","0.636995908822213","0.011","0.333","0.6","0.429","1.72896409034729"
"85","13","300","20","erdos_renyi","species","species_2","PLN","BIC","0.13","0.651229","0.524670470399139","0","0",NA,"0","0.472332239151001"
"86","13","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.06","0.810814","0.646711231579223","0.067","0.636","0.368","0.467","1.08164024353027"
"87","14","300","20","erdos_renyi","species","species_2","PLN","BIC","0.08","0.5971","0.517654868971863","0","0",NA,"0","0.733422040939331"
"88","14","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.04","0.8865","0.595800733979806","0","0",NA,"0","1.57564878463745"
"89","15","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.8555395","0.555200766483797","0","0",NA,"0","0.742360830307007"
"90","15","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.06","0.8680385","0.666062888785725","0","0",NA,"0","2.03470993041992"
"91","16","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.77405","0.529920671814308","0.028","0","0","0","0.738008260726929"
"92","16","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.07","0.90085","0.618742335683564","0.017","0.6","0.667","0.632","2.11507987976074"
"93","17","300","20","erdos_renyi","species","species_2","PLN","BIC","0.17","0.484125","0.452893919428453","0.022","0","0","0","0.718385457992554"
"94","17","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.08","0.8104375","0.676186696975941","0.006","0.167","0.667","0.267","1.91096830368042"
"95","18","300","20","erdos_renyi","species","species_2","PLN","BIC","0.13","0.6589795","0.537805252322734","0","0",NA,"0","0.661420583724976"
"96","18","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.08","0.9128445","0.650311349152123","0.011","0.538","0.778","0.636","2.03293347358704"
"97","19","300","20","erdos_renyi","species","species_2","PLN","BIC","0.17","0.6620005","0.538183728361326","0","0",NA,"0","0.46561336517334"
"98","19","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.09","0.918928","0.674039396440914","0.046","0.688","0.579","0.629","1.35701203346252"
"99","20","300","20","erdos_renyi","species","species_2","PLN","BIC","0.13","0.6415715","0.576421165935516","0.023","0","0","0","0.731197834014893"
"100","20","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.07","0.8458085","0.679788686745449","0.09","0.769","0.385","0.513","2.11617374420166"
"101","21","300","20","erdos_renyi","species","species_2","PLN","BIC","0.1","0.6485","0.502782489899304","0.065","0","0","0","0.573395013809204"
"102","21","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.04","0.8173","0.624876147366551","0.022","0.6","0.429","0.5","0.992770433425903"
"103","22","300","20","erdos_renyi","species","species_2","PLN","BIC","0.08","0.5442185","0.495094961488558","0.043","0","0","0","0.455600023269653"
"104","22","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.04","0.679301","0.576323269736731","0.005","0.333","0.667","0.444","1.0911717414856"
"105","23","300","20","erdos_renyi","species","species_2","PLN","BIC","0.12","0.63102","0.468522191638272","0.098","0","0","0","0.761940240859985"
"106","23","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.06","0.8718005","0.596896521661658","0","0.143","1","0.25","1.59405708312988"
"107","24","300","20","erdos_renyi","species","species_2","PLN","BIC","0.15","0.5159295","0.552118453047915","0.073","0.182","0.133","0.154","0.665290355682373"
"108","24","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.07","0.882885","0.690492111817673","0.061","0.727","0.421","0.533","1.90210223197937"
"109","25","300","20","erdos_renyi","species","species_2","PLN","BIC","0.06","0.682901","0.442479361332322","0.091","0.667","0.105","0.182","0.489813566207886"
"110","25","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.02","0.595393","0.534342706607548","0","0.333","1","0.5","1.06134104728699"
"111","26","300","20","erdos_renyi","species","species_2","PLN","BIC","0.11","0.727236","0.532630235438827","0.005","0","0","0","0.730667114257812"
"112","26","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.05","0.789777","0.649612928279202","0.016","0.5","0.5","0.5","1.18336820602417"
"113","27","300","20","erdos_renyi","species","species_2","PLN","BIC","0.05","0.561","0.503953842980335","0","0",NA,"0","0.451671361923218"
"114","27","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.02","0.768875","0.549407237130754","0","0",NA,"0","1.06667709350586"
"115","28","300","20","erdos_renyi","species","species_2","PLN","BIC","0.15","0.709649","0.540782330946047","0.017","0","0","0","0.503251075744629"
"116","28","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.09","0.8327105","0.702396293080087","0.05","0.636","0.438","0.519","1.41299510002136"
"117","29","300","20","erdos_renyi","species","species_2","PLN","BIC","0.13","0.762251","0.52444681065727","0","0",NA,"0","0.503416538238525"
"118","29","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.07","0.886264","0.648221270980478","0.039","0.636","0.5","0.56","1.24050807952881"
"119","30","300","20","erdos_renyi","species","species_2","PLN","BIC","0.1","0.49","0.498062729222588","0","0",NA,"0","0.71502685546875"
"120","30","300","20","erdos_renyi","species","species_2","ZIPLN","BIC","0.04","0.5905","0.621621759845392","0","0",NA,"0","1.74428343772888"
"121","1","300","20","erdos_renyi","species","species_3","PLN","BIC","0.11","0.5032","0.365655680438759","0.324","0.2","0.016","0.03","0.72470498085022"
"122","1","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.05","0.5224","0.486404507271197","0","0",NA,"0","1.67014384269714"
"123","2","300","20","erdos_renyi","species","species_3","PLN","BIC","0.13","0.593047","0.421553239797307","0.26","0.556","0.096","0.164","1.19547486305237"
"124","2","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.07","0.612029","0.511661161104195","0.039","0.222","0.222","0.222","2.37672448158264"
"125","3","300","20","erdos_renyi","species","species_3","PLN","BIC","0.12","0.513625","0.47248227450175","0.385","0.375","0.041","0.074","0.988008260726929"
"126","3","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.07","0.7734375","0.531883660382524","0","0",NA,"0","2.43710374832153"
"127","4","300","20","erdos_renyi","species","species_3","PLN","BIC","0.12","0.3927295","0.448034525318893","0.208","0.143","0.026","0.043","1.12909865379333"
"128","4","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.06","0.731701","0.552067057182544","0","0",NA,"0","2.28532719612122"
"129","5","300","20","erdos_renyi","species","species_3","PLN","BIC","0.13","0.4225","0.454882461948618","0.132","0.125","0.04","0.061","1.14363360404968"
"130","5","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.06","0.676625","0.595205930015113","0.044","0.125","0.111","0.118","2.78948140144348"
"131","6","300","20","erdos_renyi","species","species_3","PLN","BIC","0.17","0.443965","0.43322916837453","0.051","0.077","0.1","0.087","2.34942412376404"
"132","6","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.08","0.678033","0.608492097922458","0.034","0.538","0.538","0.538","2.23664450645447"
"133","7","300","20","erdos_renyi","species","species_3","PLN","BIC","0.14","0.4766765","0.443426880544007","0.133","0","0","0","1.62101936340332"
"134","7","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.07","0.587961","0.552249075953026","0","0.222","1","0.364","1.09115099906921"
"135","8","300","20","erdos_renyi","species","species_3","PLN","BIC","0.17","0.52412","0.34158739794617","0.101","0.091","0.053","0.067","17.6356649398804"
"136","8","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.08","0.655957","0.468565103755888","0.017","0.182","0.4","0.25","1.02176833152771"
"137","9","300","20","erdos_renyi","species","species_3","PLN","BIC","0.13","0.778822","0.414412268640837","0.166","0.444","0.118","0.186","1.03199100494385"
"138","9","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.06","0.5945145","0.556707678404226","0.006","0.444","0.8","0.571","1.7499942779541"
"139","10","300","20","erdos_renyi","species","species_3","PLN","BIC","0.1","0.765764","0.37786632864604","0.049","0.167","0.1","0.125","4.40107440948486"
"140","10","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.04","0.6059725","0.449681697060523","0","0.167","1","0.286","1.56041288375854"
"141","11","300","20","erdos_renyi","species","species_3","PLN","BIC","0.12","0.566779","0.402594723613825","0.262","0.143","0.02","0.036","1.02042174339294"
"142","11","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.05","0.691548","0.511701511385548","0.016","0.286","0.4","0.333","1.93738770484924"
"143","12","300","20","erdos_renyi","species","species_3","PLN","BIC","0.09","0.4762","0.420500799181698","0.211","0","0","0","1.2094554901123"
"144","12","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.04","0.7196","0.476401651787452","0","0",NA,"0","1.57548666000366"
"145","13","300","20","erdos_renyi","species","species_3","PLN","BIC","0.18","0.4612055","0.417446906426201","0.154","0.067","0.036","0.047","3.82105708122253"
"146","13","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.1","0.811903","0.506396388619125","0.006","0.333","0.833","0.476","1.27833414077759"
"147","14","300","20","erdos_renyi","species","species_3","PLN","BIC","0.13","0.5469395","0.38239139443912","0.061","0.111","0.083","0.095","2.71207451820374"
"148","14","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.06","0.7472145","0.489819058830457","0.022","0.444","0.5","0.471","1.11824631690979"
"149","15","300","20","erdos_renyi","species","species_3","PLN","BIC","0.15","0.401825","0.453811544539011","0.199","0.071","0.028","0.04","1.00042343139648"
"150","15","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.09","0.635711","0.539207376184661","0","0",NA,"0","2.24006414413452"
"151","16","300","20","erdos_renyi","species","species_3","PLN","BIC","0.16","0.5387685","0.43340725861066","0.33","0.364","0.063","0.108","0.87116813659668"
"152","16","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.07","0.6188895","0.56246785754147","0.017","0.273","0.5","0.353","1.90179920196533"
"153","17","300","20","erdos_renyi","species","species_3","PLN","BIC","0.08","0.5097","0.47109308060383","0.103","0.2","0.05","0.08","1.02178382873535"
"154","17","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.04","0.4772","0.524675969641789","0","0",NA,"0","1.6653459072113"
"155","18","300","20","erdos_renyi","species","species_3","PLN","BIC","0.13","0.4597735","0.442255174672613","0.227","0.111","0.024","0.039","0.998250246047974"
"156","18","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.07","0.746482","0.506567860388535","0.055","0.222","0.167","0.19","1.73364067077637"
"157","19","300","20","erdos_renyi","species","species_3","PLN","BIC","0.1","0.6975","0.376912303148126","0.237","0.5","0.043","0.08","0.63767409324646"
"158","19","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.04","0.691625","0.482977937499644","0","0",NA,"0","1.03821015357971"
"159","20","300","20","erdos_renyi","species","species_3","PLN","BIC","0.1","0.7682","0.437090148788264","0.097","0.4","0.1","0.16","1.50366258621216"
"160","20","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.04","0.7778","0.510006803257244","0.011","0.4","0.5","0.444","1.017991065979"
"161","21","300","20","erdos_renyi","species","species_3","PLN","BIC","0.14","0.4942","0.347065496062297","0.389","0.3","0.041","0.072","1.70100402832031"
"162","21","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.07","0.70935","0.446065715989857","0","0",NA,"0","1.60951685905457"
"163","22","300","20","erdos_renyi","species","species_3","PLN","BIC","0.09","0.6459","0.409064971341032","0.178","0.2","0.029","0.051","0.807118654251099"
"164","22","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.04","0.8275","0.51718465288277","0.011","0.8","0.667","0.727","1.72765970230103"
"165","23","300","20","erdos_renyi","species","species_3","PLN","BIC","0.13","0.6123435","0.403588548620928","0.197","0.333","0.103","0.157","0.97339129447937"
"166","23","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.08","0.7525615","0.521547188391105","0.028","0.25","0.375","0.3","1.88673233985901"
"167","24","300","20","erdos_renyi","species","species_3","PLN","BIC","0.16","0.530171","0.409642706664072","0.045","0","0","0","3.4472177028656"
"168","24","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.07","0.846537","0.566152684040444","0.061","0.545","0.353","0.429","2.01780390739441"
"169","25","300","20","erdos_renyi","species","species_3","PLN","BIC","0.1","0.5222","0.37137053030054","0.135","0.2","0.038","0.065","2.64067840576172"
"170","25","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.04","0.754","0.47188315638383","0.022","0.4","0.333","0.364","1.08302640914917"
"171","26","300","20","erdos_renyi","species","species_3","PLN","BIC","0.15","0.707176","0.497329523316544","0.14","0.25","0.107","0.15","0.680177688598633"
"172","26","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.09","0.4533725","0.623954450159041","0","0.083","1","0.154","1.09954047203064"
"173","27","300","20","erdos_renyi","species","species_3","PLN","BIC","0.14","0.413338","0.448518372431999","0.243","0","0","0","0.99581241607666"
"174","27","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.07","0.79664","0.572024625067248","0.011","0.333","0.6","0.429","1.90238451957703"
"175","28","300","20","erdos_renyi","species","species_3","PLN","BIC","0.17","0.4773525","0.420825263202954","0.124","0.083","0.043","0.057","2.58802247047424"
"176","28","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.09","0.606384","0.544209728760301","0","0.333","1","0.5","0.959543466567993"
"177","29","300","20","erdos_renyi","species","species_3","PLN","BIC","0.14","0.5693","0.463193031002431","0.133","0.1","0.04","0.057","0.869216918945312"
"178","29","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.07","0.78775","0.587358773330332","0.05","0.5","0.357","0.417","1.75617361068726"
"179","30","300","20","erdos_renyi","species","species_3","PLN","BIC","0.13","0.617711","0.492814193265069","0.212","0.182","0.05","0.078","0.94817066192627"
"180","30","300","20","erdos_renyi","species","species_3","ZIPLN","BIC","0.06","0.7240585","0.560891300732354","0.084","0.455","0.25","0.323","1.17526054382324"
"181","1","300","20","erdos_renyi","species","species_4","PLN","BIC","0.1","0.6758125","0.498977353420748","0.093","0.25","0.105","0.148","0.993600845336914"
"182","1","300","20","erdos_renyi","species","species_4","ZIPLN","BIC","0.06","0.69575","0.5575051031389","0.077","0.5","0.222","0.308","2.1757504940033"
"183","2","300","20","erdos_renyi","species","species_4","PLN","BIC","0.14","0.528622","0.322816291714982","0.061","0.091","0.083","0.087","3.14217495918274"
"184","2","300","20","erdos_renyi","species","species_4","ZIPLN","BIC","0.07","0.599765","0.428170126105984","0","0.091","1","0.167","1.49919748306274"
"185","3","300","20","erdos_renyi","species","species_4","PLN","BIC","0.15","0.487307","0.326628392898087","0.346","0.364","0.061","0.104","3.0867133140564"
"186","3","300","20","erdos_renyi","species","species_4","ZIPLN","BIC","0.08","0.567173","0.445712185419294","0","0.182","1","0.308","2.4824538230896"
"187","4","300","20","erdos_renyi","species","species_4","PLN","BIC","0.12","0.5743515","0.482878025321676","0.188","0.333","0.081","0.13","1.07819700241089"
"188","4","300","20","erdos_renyi","species","species_4","ZIPLN","BIC","0.06","0.362245","0.585493149279255","0","0",NA,"0","2.32810139656067"
"189","5","300","20","erdos_renyi","species","species_4","PLN","BIC","0.14","0.692102","0.482939663846274","0.022","0","0","0","1.96438121795654"
"190","5","300","20","erdos_renyi","species","species_4","ZIPLN","BIC","0.08","0.8644725","0.540460517175557","0.128","0.727","0.258","0.381","2.71833467483521"
